#192493	#67054	0
#19600	#93638	5
#133696	#70296	0
#69582	#22779	0
connective tissue	tejido conjuntivo	0
#119015	#111114	0
religious	pío	0
ballet	ballet	5
#43971	#59056	3
#66514	#132728	0
#18662	#200040	0
friendly	amigable	0
#93790	#43371	5
provider	distribuidor	0
#146477	#2330	5
#69943	#132817	0
#29093	#19293	0
cook	cocinero	2
#74830	#218479	5
per capita	per cápita	4
lie in wait	emboscar	0
#96868	#63128	4
#93561	#217566	5
#169214	#137966	0
architectural plan	planimetría	0
re-form	reconstituir	0
#173526	#44603	0
look up	admirar	1
titled	titulado	0
#11606	#19245	0
#76442	#65173	5
#84800	#62184	0
honourable	honroso	0
#63990	#51964	3
stupefy	asombrar	0
#44011	#97725	0
#28036	#67435	5
desirous	deseoso	0
selected	seleccionado	5
poison	tóxico	0
#94614	#1266	4
#190590	#243973	3
waiting	expectación	0
#289200	#247968	4
beater	cafetera	0
gyroscope	giroscopio	5
halocarbon	halocarbono	4
chlorate	clorato	5
overstatement	montaje	0
localisation	descentralización	0
#552	#91245	0
settling	madre	0
cranial	craneano	0
#25966	#63549	5
habitant	morador	0
#32566	#200896	1
#163387	#230987	0
airport	aeropuerto	4
structural analysis	análisis estructural	0
#15687	#310946	0
#43371	#122423	0
#70616	#9010	5
#90596	#64301	3
bloody	ensangrentar	0
public relations officer	relaciones públicas	0
digital terrestrial television	digital terrestre	0
#27467	#202949	2
overheat	recalentar	0
apportionment	distribución	0
#88678	#32734	4
#59629	#62295	0
thermosphere	termosfera	5
heat wave	canícula	0
distinctiveness	especificidad	0
sitter	niñera	3
#29601	#32315	0
#32029	#68416	0
#82382	#31850	0
come into being	nacer	0
steadfastly	asiduamente	0
ignorant	naco	0
#142537	#81011	0
galling	molesto	0
self-styled	sedicente	0
transportation system	sistema de transporte	5
praise	decantación	0
revanchist	revanchista	5
def	mejor	0
#139483	#261285	0
fringe	periferia	5
hamburger	hamburguesa	0
arise	alzamiento	0
allowed	abierto	0
fall-out	contragolpe	0
absolute	dirimente	0
enc	cita	0
utilize	valer	0
#127035	#55417	0
#11417	#68461	0
#8698	#27332	5
#16277	#312754	5
goat	cabra	4
hospital complex	hospital	0
#161292	#61281	0
#88687	#230948	0
#81514	#66425	3
#76737	#41723	0
family circle	gallinero	0
foul play	falta	0
#38084	#36388	0
#69120	#22069	0
#15254	#14266	0
dirham	dirham	0
#139410	#11463	5
#191243	#49815	0
#9177	#236032	0
#151356	#207517	5
offend	ofender	5
#97449	#12518	0
sterilisation	esterilización	0
#81567	#33828	3
#47388	#82436	4
distr.	distribución	5
#71558	#137681	0
scholarship holder	becado	5
as many	igual	0
activating	accionamiento	0
thoughtfulness	contemplación	0
#23677	#4576	0
#127454	#246671	5
#182683	#78667	5
#47665	#106802	0
adrenal gland	adrenal	3
heroism	heroísmo	5
air navigation	aeronavegación	2
#28201	#78577	2
#76284	#9045	0
#61231	#94097	4
#141511	#208195	5
#25023	#110742	0
#22041	#46705	0
#43205	#121025	0
machine-gun fire	metralla	0
caterpillar	mida	0
century-old	centenario	0
dairy farmer	lechero	2
