founder	iniciador	0
fabricated	inventado	2
plenary	colegial	0
levelling	nivelación	0
rescue unit	equipo de salvamento	0
normal distribution	distribución normal	0
preface	prefacio	0
trolley	tranvía	0
apartment	edificio de apartamentos	0
twenty-seventh	veintisiete	0
agriculturalist	hidrólogo	0
meta-data	metadato	3
compensate	remunerar	0
nervousness	desasosiego	0
unreached	inalcanzable	0
taxation law	ley tributaria	0
whole number	número entero	0
call on	marcar	0
forgiving	absolutorio	0
bring down	enrarecer	0
enjoyable	ameno	1
disturb	incomodar	0
dictatorship	dictadura	0
iniquity	inmoralidad	0
decennial	décimo aniversario	0
anxious	ambicioso	0
bar graph	gráfico de barras	0
inspection	comprobación	5
rack	armazón	0
mass-produced	en serie	0
bulldozer	bulldozer	2
controversial	discutido	0
insignificant	intrascendente	0
shut off	apagar	0
felon	malhechor	0
reins	riendas	0
synergy	sinergia	0
usher	guiar	0
infiltration	infiltración	1
gambling game	juego de suerte	0
ransack	saquear	0
hesitation	indecisión	5
constitution	constitución	5
incongruence	paradoja	0
spinal column	columna vertebral	0
z.	resistencia específica	0
justification	descargo	0
sociocultural	sociocultural	0
clawback	alijar	0
slaying	homicidio calificado	0
flagrancy	flagrancia	2
anticipation	expectativa	0
kinsfolk	hogar	0
contraction	contracción muscular	0
thirty	treinta	5
ravish	deleitar	0
elaborate	explayar	4
correspondence school	escuela por correspondencia	0
verdict of guilty	veredicto de culpabilidad	0
lassitude	letargia	0
respiratory disease	enfermedad respiratoria	0
grandchild	nieto	2
nylon	nylon	0
up-to-date	evolucionado	0
rheumatic	reumático	0
merely	meramente	0
make off	escapar	0
food preservation	preservación de alimentos	0
aberrant	aberrante	3
flowline	línea de flujo	0
micro-organism	microorganismo	5
dance hall	sala de baile	1
founder member	socio fundador	0
call	llamada	5
crab	cangrejo	3
weather station	estación meteorológica	3
prep	aparejar	0
flat	mesa	0
cashier	cajero	5
infection	infección	0
antidemocratic	antidemocrático	2
sore	enardecido	0
floppy disk	disco flexible	0
ignorant	naco	0
degrade	descuajar	0
flotilla	flotilla	2
doom	desgracia	0
iii	tres	5
charity	beneficencia	0
lava flow	colada	0
recall	memorar	4
market forces	fuerzas del mercado	5
minimisation	minimización	0
evolved	evolucionado	0
blooming	florecimiento	0
rehabilitation	rehabilitación	5
telematics	telemática	4
mutuality	interrelación	0
computer virus	virus	0
acetylcholine	acetilcolina	0
iodine	iodo	0
downfall	naufragio	0
financial support	cobertura	0
supreme commander	comandante en jefe de las fuerzas armadas	5
industrial sector	industria	0
battered	apaleado	0
phrase	construir	0
dyspnoea	asma	0
ethnographical	etnográfico	0
accident victim	accidentado	0
cast iron	arrabio	0
blue asbestos	crocidolita	0
multiplexer	multiplexor	0
