#61554	#112738	5
#74905	#54165	0
deferment	aplazamiento	0
zing	dinamismo	0
appetite	hambre	0
radio beacon	radiofaro	0
#149322	#38859	0
#37298	#134911	0
overlying	superpuesto	0
#37886	#14855	0
#143316	#15106	0
#21495	#22989	0
#85292	#217212	0
#324	#44333	0
agglomeration	bloque	0
#69825	#28561	4
vast	gigante	0
#132357	#203024	5
marry	casar	0
#93561	#217566	0
#193481	#205890	4
#173521	#208310	0
#77515	#61938	0
#28481	#204032	0
#97666	#8506	4
#59828	#104388	4
traveling	viaje	0
#20640	#313242	0
#17429	#210591	3
#59730	#204593	3
opaque	opaco	5
#119879	#207865	5
#85738	#2754	0
#33603	#220885	0
caffeine	cafeína	0
#78602	#524	0
#311424	#203016	5
supplies	retén	0
national debt	déficit presupuestario	0
#23296	#99434	0
jet propulsion	retropropulsión	0
#58510	#80428	0
major power	potencia	0
#288788	#308027	0
exemption	inmunidad	0
noticeable	constatable	0
repairman	operario de mantenimiento	0
guarantor	avalista	0
bot	autómata	0
#171698	#204648	0
adopting	adopción	0
gravimetric	gravimétrico	4
countervail	equivalente	0
criticise	tachar	5
#71213	#70781	0
recording machine	dispositivo de grabación	0
#60627	#7816	3
#79306	#15346	0
causal	causal	3
tax avoidance	elusión fiscal	4
hotel manager	hotelero	0
remaking	reelaboración	0
#63037	#110709	0
illegal	ilegítimo	0
petroleum	petróleo	0
merchant marine	marina mercante	0
irritate	desplacer	0
#1716	#29940	4
background knowledge	background	0
#48618	#95878	0
#140959	#129154	5
pension benefit	jubilación	0
iodide	yoduro	0
#312556	#307449	0
one-sided	unilateral	0
temporary employee	trabajador temporal	0
#317649	#261026	0
self-analysis	introspección	0
overrun	infestado	0
#41515	#51757	4
bald eagle	águila calva	0
#186070	#217779	0
take-off	despegue	4
accomplishment	cumplimiento	0
#47560	#247076	0
offended	desastroso	0
video disc	disco láser	0
mechanic	mecánico	0
#83362	#57026	0
conformity	conformidad	5
dressmaker	costurera	3
vermiculite	vermiculita	0
indulgence	indulgencia	0
peaceful coexistence	coexistencia pacífica	5
#46699	#220	0
#46436	#122140	5
multi-user	multiusuario	0
#94305	#3229	4
definite time	tiempo definido	0
news agency	agencia de prensa	2
winter	invierno	3
#30507	#101806	0
scarring	cicatriz	0
international community	comunidad internacional	0
dismissed	despedido	0
#81992	#98520	0
#95546	#60319	0
full board	pensión completa	0
#178808	#38556	0
sprinkle	bautizar	0
ladder	escalera	5
philosophy	teoría política	0
freedom of assembly	libertad de asociación	5
#37102	#207629	0
#73905	#3636	0
federal state	gobierno federal	0
ethnic	étnico	0
#81290	#96687	3
pro se	personalmente	0
supersonic	hipersónico	0
#124749	#72579	4
toughening	revigorización	0
manganese	manganeso	0
question mark	signo de interrogación	0
#31121	#208283	5
#157436	#106241	5
astronomical	astronómico	5
ensnare	enlazar	0
#37652	#34113	0
#119246	#201770	0
#98747	#74085	5
#323809	#246567	0
lf	baja frecuencia	0
#23676	#56079	4
destroyer	devastador	0
personal	privado	0
#17219	#18607	0
poetic	lírico	0
writing	escritura	0
#87648	#78140	0
dedicate	afanar	0
mod.	contemporáneo	0
#43209	#121207	0
#85332	#104389	1
generously	generosamente	5
television viewer	telespectador	5
#43203	#120812	2
#28230	#72351	5
#77911	#19094	0
ambition	ambición	5
interrupt	interrumpir	1
#119149	#52560	0
#28389	#80704	2
#38512	#204197	0
#139244	#251384	0
#4009	#22652	0
nitric acid	ácido nítrico	5
#67745	#139162	0
#172542	#93817	0
#60344	#11500	0
psychiatric hospital	casa de salud	0
pantry	despensa	5
federal territory	territorio federal	4
#164956	#16321	0
disinterestedness	desinterés	0
whip	flagelo	0
#65911	#274087	0
#32881	#91228	5
#132689	#241280	3
#31092	#68478	0
copepod	copépodo	0
#41499	#24285	0
mercantile	mercantil	0
dictatorial	imperativo	0
#26387	#253815	0
wanted	buscado	0
calling card	felicitación	0
#18588	#77653	5
#41303	#8112	0
#96679	#233997	0
ostrich	avestruz	0
#151546	#76271	0
fallen	caído	4
#15798	#32197	0
industrial	industrial	3
#69795	#101794	0
#96198	#28482	0
sympathy	emoción	0
#44461	#3838	0
scent	olor	0
protectionism	proteccionismo	4
ancient	antiguos	0
ministerial decree	decreto ministerial	5
district	distrito	4
provenance	proveniencia	5
#191510	#114851	0
#65173	#4634	0
#28126	#238451	5
#192080	#206367	0
#38693	#37970	0
#30106	#204185	0
#59285	#204054	0
get into	entrañar	0
#125333	#42739	0
make the grade	imponer	0
#34695	#22729	0
legal document	documento oficial	0
#64978	#114548	0
#158098	#247422	0
venture	aventurar	1
send up	exhalar	0
nucleic acid	ácido nucleico	1
clean energy	energías limpias	4
photolithography	fotolitografía	0
clip	clip	5
road accident	accidente de circulación	5
#149905	#71430	2
#197118	#255288	4
free market	libre mercado	5
#43646	#119541	5
#61575	#49378	0
laden	oprimido	0
self-defense	defensa propia	4
schoolmaster	director de escuela	0
#18603	#79442	5
#310617	#313550	0
self-injury	autolesión	0
#24506	#19546	0
#200358	#206534	0
#283596	#234875	2
ethnographic	etnográfico	4
film producer	productor de películas	0
#84184	#219751	0
#4064	#20321	5
delve	excavar	0
#68722	#15077	4
measured	medido	0
armrest	brazo	0
#326298	#5782	0
spaceflight	vuelo espacial	0
divestiture	desinversión	0
amphibian	anfibio	0
bedclothes	ropa de cama	0
#84071	#62990	0
#80998	#246396	0
#285259	#312985	0
#58239	#201058	0
#308668	#308359	5
sexist	machista	0
#68831	#32045	0
acrylonitrile	acrilonitrilo	0
#160374	#2878	5
herbivorous	herbívoro	4
#89194	#61126	5
planted	radicado	0
unilaterally	unilateralmente	5
#85038	#28339	5
