#61554	#61554	5
#74905	#74905	5
deferment	deferment	5
zing	zing	5
appetite	appetite	5
radio beacon	radio beacon	5
#149322	#149322	5
#37298	#37298	5
overlying	overlying	4
#37886	#37886	5
#143316	#143316	5
#21495	#21495	4
#85292	#85292	5
#324	#324	5
agglomeration	agglomeration	5
#69825	#69825	5
vast	vast	5
#132357	#132357	4
marry	marry	5
#93561	#93561	4
#193481	#193481	5
#173521	#173521	5
#77515	#77515	5
#28481	#28481	5
#97666	#97666	5
#59828	#59828	5
traveling	traveling	5
#20640	#20640	5
#17429	#17429	5
#59730	#59730	5
opaque	opaque	5
#119879	#119879	5
#85738	#85738	5
#33603	#33603	5
caffeine	caffeine	5
#78602	#78602	4
#311424	#311424	5
supplies	supplies	5
national debt	national debt	5
#23296	#23296	4
jet propulsion	jet propulsion	5
#58510	#58510	5
major power	major power	5
#288788	#288788	5
exemption	exemption	5
noticeable	noticeable	5
repairman	repairman	5
guarantor	guarantor	5
bot	bot	5
#171698	#171698	5
adopting	adopting	5
gravimetric	gravimetric	5
countervail	countervail	5
criticise	criticise	5
#71213	#71213	5
recording machine	recording machine	5
#60627	#60627	5
#79306	#79306	4
causal	causal	5
tax avoidance	tax avoidance	5
hotel manager	hotel manager	5
remaking	remaking	5
#63037	#63037	5
illegal	illegal	5
petroleum	petroleum	5
merchant marine	merchant marine	5
irritate	irritate	5
#1716	#1716	5
background knowledge	background knowledge	5
#48618	#48618	5
#140959	#140959	5
pension benefit	pension benefit	5
iodide	iodide	5
#312556	#312556	5
one-sided	one-sided	5
temporary employee	temporary employee	5
#317649	#317649	5
self-analysis	self-analysis	5
overrun	overrun	5
#41515	#41515	5
bald eagle	bald eagle	2
#186070	#186070	5
take-off	take-off	5
accomplishment	accomplishment	5
#47560	#47560	5
offended	offended	5
video disc	video disc	5
mechanic	mechanic	5
#83362	#83362	5
conformity	conformity	5
dressmaker	dressmaker	4
vermiculite	vermiculite	5
indulgence	indulgence	5
peaceful coexistence	peaceful coexistence	4
#46699	#46699	4
#46436	#46436	4
multi-user	multi-user	5
#94305	#94305	5
definite time	definite time	5
news agency	news agency	5
winter	winter	4
#30507	#30507	5
scarring	scarring	5
international community	international community	4
dismissed	dismissed	5
#81992	#81992	5
#95546	#95546	5
full board	full board	5
#178808	#178808	5
sprinkle	sprinkle	5
ladder	ladder	5
philosophy	philosophy	5
freedom of assembly	freedom of assembly	5
#37102	#37102	0
#73905	#73905	5
federal state	federal state	5
ethnic	ethnic	5
#81290	#81290	4
pro se	pro se	5
supersonic	supersonic	5
#124749	#124749	5
toughening	toughening	5
manganese	manganese	5
question mark	question mark	5
#31121	#31121	5
#157436	#157436	5
astronomical	astronomical	5
ensnare	ensnare	5
#37652	#37652	5
#119246	#119246	0
#98747	#98747	5
#323809	#323809	5
lf	lf	5
#23676	#23676	5
destroyer	destroyer	5
personal	personal	5
#17219	#17219	5
poetic	poetic	5
writing	writing	5
#87648	#87648	5
dedicate	dedicate	5
mod.	mod.	5
#43209	#43209	5
#85332	#85332	4
generously	generously	5
television viewer	television viewer	5
