kilometre	km	['#29462' '#39856' '#315' '#30709' 'uno']	0
severable	separable	['estado' '#79320' '#38486' 'libertad' '#53043']	0
#87491	#117457	['#42149' 'did\xc3\xa1ctico' '#44369' 'fasc\xc3\xadculo'
 'canalizaci\xc3\xb3n']	0
#68101	#12724	['#61938' '#2528' '#3113' '#47512' '#38103']	0
#195919	#275049	['#218509' '#27894' '#208172' 'desciframiento' 'discutido']	0
#79214	#79477	['#210061' '#310482' 'obliteraci\xc3\xb3n' '#240729' 'glosopeda']	0
tensile	maleable	['develar' '#112438' 'resignado' 'tratamiento de choque' 'datos de prueba']	0
entropy	entropía	['#68399' 'dedo me\xc3\xb1ique' '#261043' 'acero austen\xc3\xadtico'
 'positivista']	0
#98506	#11141	['cooperaci\xc3\xb3n' 'comisi\xc3\xb3n' '#11549' '#18984' '#12005']	0
cooperative	cooperativa	['cooperaci\xc3\xb3n' '#98228' 'elaboraci\xc3\xb3n' '#23075'
 'entrenamiento']	0
radome	radomo	['#234906' '#201433' '#116441' '#218509' '#219808']	0
radio beacon	radiofaro	['#19701' '#234906' '#207628' '#43811' 'frito']	0
associated state	protectorado	['arresto' '#12894' '#9414' 'contravenci\xc3\xb3n' 'coercitivo']	0
fuel combustion	combustión	['directriz' 'cambio' '#42997' '#51383' 'lista']	0
#118833	#235293	['marca registrada' '#71889' '#318440' '#231550' '#64162']	0
#63273	#6439	['zumo de naranja' 'desorientador' '\xc3\xadndice de octano'
 'idealizaci\xc3\xb3n' 'retinoblastoma']	0
#47300	#104060	['#97767' '#204933' '#319536' 'error t\xc3\xadpico' 'renunciaci\xc3\xb3n']	0
father	padre	['#103877' 'antes' '#1759' '#98290' 'guerrillero']	0
ts	transexual	['#108230' '#31397' '#99302' 'mes\xc3\xadas' '#102853']	0
#93381	#53505	['#218' 'participaci\xc3\xb3n' 'informe' '#37632' 'efectivo']	0
#141224	#232588	['#216387' 'objeto natural' 'duraci\xc3\xb3n de la vida' '#7819' '#116441']	0
#283908	#114079	['convencionalismo' '#235847' 'remiendo' 'papiro' 'injertar']	0
#135493	#251490	['influenciable' 'descodificador' 'compositor' 'incompresible'
 'corresponsal de guerra']	0
digital photograph	fotografía digital	['#135560' '#53365' 'b' 'impreso' 'excesivamente']	0
nonlegal	extralegal	['#116658' 'dato' '#37632' 'formular' 'resoluci\xc3\xb3n']	0
#69941	#26424	['#143' '#48854' 'responsabilidad' 'fondo' '#11118']	0
#22431	#252317	['#136898' '#30836' 'legislaci\xc3\xb3n nacional' '#53570' '#204651']	0
#166465	#18507	['#6567' '#11998' '#42997' 'recuperaci\xc3\xb3n' '#136801']	0
#166460	#63158	['#91160' 'prometedor' '#43410' 'd\xc3\xadgito' 'decepcionante']	0
stimulus	aliciente	['#26720' 'garant\xc3\xada' '\xc3\xbanico' 'positivo' 'producir']	0
#19610	#93712	['competente' '#208138' '#136801' '#9233' '#2300']	0
#142479	#51718	['#11081' '#119570' '#222715' '#18190' 'butilo']	0
public official	oficial público	['#128486' '#111773' 'operaci\xc3\xb3n' 'organizar' 'asegurar']	0
team	cuadrilla	['comisi\xc3\xb3n' '#12005' '#30596' '#79482' '#11549']	0
#13958	#14964	['#22316' '#116441' 'parte facultativo' 'olfato' 'tatuaje']	0
#189067	#100040	['#37481' '#7430' '#70206' '#23678' 'sector editorial']	0
#3184	#246667	['#245918' '#36085' 'robo con violencia' 'quiebra fraudulenta' '#203897']	0
spiritual	espiritual	['actividad' 'persona' '#27985' 'cuesti\xc3\xb3n' 'recurso']	0
#194848	#30204	['desanimado' 'deseabilidad' 'acomodo' 'desahogo' 'transmutar']	0
#28483	#253211	['passim' '#117860' '#59739' '#52569' 'palabra por palabra']	0
#191830	#135077	['responsabilidad' '#143' '#12005' 'comisi\xc3\xb3n' 'estar']	0
#88818	#4066	['#33750' '#92070' '#314314' '#54224' 'idiota']	0
#31495	#35411	['#19080' 'ex\xc3\xa9gesis' '#30560' 'mes\xc3\xadas' '#82399']	0
#31498	#107265	['#73937' 'diet\xc3\xa9tica' '#247758' 'sodio' 'tangram']	0
loathing	horror	['acose' '#88556' '#116165' 'vendetta' 'infiel']	0
#322916	#255464	['eleccionario' 'mesa electoral' '#8700' '#39701' 'censo electoral']	0
#175882	#119352	['abonar' '#94993' 'pagado' 'anticipo' 'prenatal']	0
#154650	#198967	['liberalismo' '#131056' '#67649' '#51364' 'centeno']	0
#153280	#308036	['estrategia' 'expresar' 'investigaci\xc3\xb3n' 'libertad' '#51385']	0
umbilical cord	cordón umbilical	['caldeado' '#116441' 'dramatizar' 'individualista' '#118155']	0
#30010	#254501	['#91348' '#295' 'documentaci\xc3\xb3n' '#102959' '#2959']	0
#84549	#39579	['#203687' 'persuadido' 'decepcionado' 'papel mojado' 'esc\xc3\xa9ptico']	0
taxicab	taxi	['#61583' '#79743' '#3126' 'impartir' 'obligatorio']	0
landmine	mina terrestre	['#34666' '#39277' 'fuego' '#45101' '#36264']	0
spacing	distribución	['#234239' 'enfrenamiento' 'fenomenolog\xc3\xada' '#2197' '#115914']	0
lep	saltar	['muera' 'benem\xc3\xa9rito' 'error t\xc3\xadpico' '#30385' '#4505']	0
astrophysicist	astrofísico	['#252831' 'canto' '#77132' '#52569' '#211']	0
