#61554	#61554	0
#74905	#74905	0
deferment	deferment	0
zing	zing	0
appetite	appetite	0
radio beacon	radio beacon	0
#149322	#149322	0
#37298	#37298	0
overlying	overlying	0
#37886	#37886	0
#143316	#143316	0
#21495	#21495	0
#85292	#85292	0
#324	#324	0
agglomeration	agglomeration	0
#69825	#69825	0
vast	vast	0
#132357	#132357	0
marry	marry	0
#93561	#93561	0
#193481	#193481	0
#173521	#173521	0
#77515	#77515	0
#28481	#28481	0
#97666	#97666	0
#59828	#59828	0
traveling	traveling	0
#20640	#20640	0
#17429	#17429	0
#59730	#59730	0
opaque	opaque	0
#119879	#119879	4
#85738	#85738	0
#33603	#33603	0
caffeine	caffeine	0
#78602	#78602	0
#311424	#311424	0
supplies	supplies	0
national debt	national debt	0
#23296	#23296	0
jet propulsion	jet propulsion	0
#58510	#58510	0
major power	major power	0
#288788	#288788	0
exemption	exemption	4
noticeable	noticeable	0
repairman	repairman	0
guarantor	guarantor	4
bot	bot	5
#171698	#171698	0
adopting	adopting	0
gravimetric	gravimetric	0
countervail	countervail	0
criticise	criticise	4
#71213	#71213	0
recording machine	recording machine	0
#60627	#60627	0
#79306	#79306	0
causal	causal	0
tax avoidance	tax avoidance	0
hotel manager	hotel manager	0
remaking	remaking	0
#63037	#63037	0
illegal	illegal	0
petroleum	petroleum	0
merchant marine	merchant marine	0
irritate	irritate	0
#1716	#1716	5
background knowledge	background knowledge	0
#48618	#48618	0
#140959	#140959	5
pension benefit	pension benefit	5
iodide	iodide	0
#312556	#312556	0
one-sided	one-sided	0
temporary employee	temporary employee	0
#317649	#317649	0
self-analysis	self-analysis	0
overrun	overrun	0
#41515	#41515	0
bald eagle	bald eagle	0
#186070	#186070	0
take-off	take-off	2
accomplishment	accomplishment	5
#47560	#47560	0
offended	offended	0
video disc	video disc	0
mechanic	mechanic	0
#83362	#83362	0
conformity	conformity	0
dressmaker	dressmaker	0
vermiculite	vermiculite	0
indulgence	indulgence	0
peaceful coexistence	peaceful coexistence	0
#46699	#46699	3
#46436	#46436	0
multi-user	multi-user	0
#94305	#94305	0
definite time	definite time	0
news agency	news agency	0
winter	winter	4
#30507	#30507	0
scarring	scarring	0
international community	international community	0
dismissed	dismissed	0
#81992	#81992	0
#95546	#95546	0
full board	full board	0
#178808	#178808	0
sprinkle	sprinkle	0
ladder	ladder	0
philosophy	philosophy	0
freedom of assembly	freedom of assembly	0
#37102	#37102	0
#73905	#73905	0
federal state	federal state	0
ethnic	ethnic	0
#81290	#81290	0
pro se	pro se	0
supersonic	supersonic	0
#124749	#124749	0
toughening	toughening	0
manganese	manganese	0
question mark	question mark	0
#31121	#31121	0
#157436	#157436	0
astronomical	astronomical	0
ensnare	ensnare	0
#37652	#37652	0
#119246	#119246	0
#98747	#98747	0
#323809	#323809	0
lf	lf	0
#23676	#23676	0
destroyer	destroyer	0
personal	personal	0
#17219	#17219	0
poetic	poetic	0
writing	writing	5
#87648	#87648	0
dedicate	dedicate	0
mod.	mod.	0
#43209	#43209	0
