magnetic	magnético	0
protest	contestación	0
appetite	hambre	0
self-reliant	árbitro	0
sexual assault	agresión sexual	0
quadruple	cuádruplo	0
originality	originalidad	2
swap	trueque	0
herbicide	herbicida	0
worth	digno	0
co-operation	cooperación	3
geology	geología	3
compassion	misericordia	0
storage capacity	capacidad de memoria	0
life span	perduración	0
alpine	alpino	0
loneliness	incomunicación	0
humidity	humedad	2
executive order	decreto presidencial	0
anti-satellite	antisatélite	3
ornamental	planta ornamental	0
force	fuerza	3
cordially	cordialmente	3
horn	cuerno	0
disciplined	disciplinado	3
monster	monstruo	3
hide	celar	0
unskilled	desconocedor	0
xvii	diecisiete	0
foodstuffs	abarrotes	0
halocarbon	halocarbono	0
cut back	enrarecer	0
festive	feriado	0
anthropology	antropología	0
chassis	chasis	2
staff sergeant	sargento mayor	3
futures market	mercado de futuros	3
tranquillizer	calmante	0
unincorporated territory	territorio no incorporado	3
energy crisis	crisis del petróleo	2
rehabilitative	reconstructivo	3
have-nots	desposeído	0
topography	topografía	0
secure	sujetar	3
tempt	granjear	0
high official	canciller	0
glance	vistazo	0
total	total	3
bra	sujetador	0
monetization	monetización	3
genomics	genómica	0
mountain range	cordillera	3
insecurity	indecisión	0
humanitarian assistance	ayuda humanitaria	3
overshadow	eclipsar	0
breathe	respirar	0
standardized	intercambiable	0
internet address	nombre de dominio	0
labor law	derecho del trabajo	0
reign	reinado	0
adjourn	retirar	0
adamant	diamante	0
supplemental	adicional	0
segregated	segregado	0
mg	miligramo	0
setup	aparato	0
mi	milla	0
mammalian	mamífero	0
centralization	centralización	0
salvage	restaurar	0
grenade	granada	0
transition	paso	3
pollute	violar	0
titanium	titanio	0
recovery	reposición	3
hon	amado	0
verify	abonar	0
how	manera	3
preferable	preferible	0
added value	valor agregado	0
economic dependence	dependencia económica	3
curiosity	curiosidad	3
disassembly	desmontaje	3
digital signature	firma digital	0
purchase	adquisición	0
systematization	sistematización	0
unpunished	impune	0
foetal	fetal	3
consent	consentimiento	0
vary	alterar	0
aerial photography	aerofotografía	0
gastrointestinal	gastrointestinal	0
multidisciplinary	multidisciplinario	0
plantation	plantación	0
international convention	convenio internacional	0
concurring	favorable	0
fade	desaparición	0
persist	persistir	0
versus	en contra	0
then	en lo sucesivo	3
undercut	filete	0
fragment	fragmento	0
slate	pizarra	0
safe	caja de seguridad	0
singularity	unicidad	0
meat	carne	0
explode	saltar	0
fitness	estado de forma	0
volcano	volcán	3
seed money	capital inicial	0
instrumentality	instrumento	3
practising	practicante	0
worn-out	gastado	0
sexually transmitted disease	enfermedad venérea	0
geographical region	territorio	1
goo	lodazal	0
sand	sabre	0
organic law	constitución	3
millennium	milenario	3
debit	endeudar	0
financial year	año económico	0
independence	independencia	3
foundation	fundamento	0
broadband network	red de banda ancha	0
resume	currículum vitae	0
intersex	intersexo	0
free	liberar	3
rain	lluvia	3
cornerstone	angular	0
oppose	atascar	0
r.	radio	0
appreciable	apreciable	0
recite	recitar	0
organize	organizar	3
police post	central de policía	0
grade	juzgar	0
coding	codificación	0
hearing	oreja	0
peculiarity	especificidad	0
guerrilla warfare	guerrilla	3
basketball	baloncesto	1
jus soli	jus soli	2
information science	ciencia de la información	0
analgesic	analgésico	0
ceiling	tumbado	0
murder	homicidio calificado	0
home town	pueblo natal	0
integrally	integralmente	0
mutilated	incompleto	0
national day	fiesta nacional	0
forensic	forense	0
pneumonia	neumonía	0
idle	estar de más	0
guilt	sentimiento de culpa	0
feeling	sensación	0
mini	minifalda	0
notary public	notario	0
go into	entrañar	0
weather forecast	predicción meteorológica	0
put forward	nominar	0
handicapped person	discapacitado	0
communications system	sistema de comunicación	0
communicative	expresivo	0
thorough	exhaustivo	0
niece	sobrino	2
forest policy	políticas forestales	3
satellite network	red por satélite	0
move back	recular	0
reimbursement	devolución del dinero	0
singer	cantante	3
popular culture	cultura popular	2
nineteenth	decimonoveno	0
market failure	fallo de mercado	3
advisory	consultivo	0
reorganize	remodelar	0
retire	jubilar	0
ending	culminación	0
busy	afanar	0
be well	estar bien	0
itinerant	vago	0
hydroxyl radical	hidroxilo	0
rich	acaudalado	0
integrate	integrar	0
as soon as	tan pronto como	0
predecessor	antecesor	0
watch	reloj	0
roundabout	glorieta	0
altogether	desnudez	0
naval base	base naval	0
volatility	volatilidad	0
rocket-propelled	autopropulsado	0
conciliator	pacificador	0
miserable	desdichado	0
immobilization	inmovilización	0
best	número uno	0
war criminal	criminal de guerra	0
cooperation	cooperación	3
women's shelter	centro de acogida	0
dirty bomb	dispositivo de dispersión radiológica	0
oxidation	oxidación	0
wean	destetar	0
dedication	obligación	0
picking	opción	0
country	estado	3
uncertainty	indecisión	0
precipitous	escarpado	0
protection	salvaguarda	3
contribution	aportación	3
con	contra	0
historical site	lugar histórico	3
twenty-three	veintitrés	0
human activity	acción humana	0
refill	carga	0
research centre	centro de investigación	0
bathroom	servicios	0
self-confidence	desparpajo	0
regenerate	regenerado	0
referendum	consulta pública	0
environmental impact assessment	evaluación del impacto ambiental	0
beneficiary	beneficiario	0
detrimental	comprometedor	0
graphical	gráfico	0
feasibility study	estudio preparatorio	0
personally	personalmente	0
harshness	sevicia	0
inviolable	inalienable	0
n	norte	0
aim	destino	3
fallow	barbecho	3
abrupt	improviso	0
reconnaissance	reconocimiento	0
property	predio	3
precede	preceder	0
preponderant	preponderante	0
metropolitan	metropolitano	3
defeated	vencido	0
conditioned	climatizado	0
straits	penuria	0
world-wide	mundial	0
euthanasia	eutanasia	0
uplift	exaltar	0
disappear	traspapelar	0
criminological	criminológico	0
contaminate	contaminado	0
opportunistic infection	infección oportunista	0
emphasise	tarjar	0
hang	colgar	0
workforce	fuerza del trabajo	0
evil	inmoralidad	0
hand	mano	0
delight	delicia	0
suburb	arrabal	0
unyielding	inflexible	0
kin	parentela	0
rulebook	ordenanza	3
selfless	abnegado	3
menial	lacayo	0
humble	humillar	0
purchase price	precio de compra	3
appease	reconfortar	0
judge	juez	3
wind erosion	erosión eólica	0
sabbatical	año sabático	0
caregiver	ats	0
human right	derechos humanos	3
catalytic	catalítico	0
rescission	rescisión	3
transformed	convertido	0
innocent	inocente	0
humanity	raza humana	0
survival	sobrevivencia	0
right-wing	derechista	0
perfunctory	frívolo	0
half-yearly	semestralmente	1
natal	natalicio	0
wholesaler	mayorista	2
