#61554	#112738	['trauma' '#112738' '#112737' 'traumatismo' 'traum\xc3\xa1tico']	4
#74905	#54165	['#113757' '#113754' '#52845' '#40138' '#1191']	0
deferment	aplazamiento	['aplazamiento' '#9182' '#107033' '#42358' '#98012']	5
zing	dinamismo	['paloma' 'bobo' '#57624' '#81790' 'lince']	0
appetite	hambre	['avaricia' '#3806' '#44645' '#12884' 'instinto']	0
radio beacon	radiofaro	['baliza' 'radiofaro' '#51459' '#209158' '#240059']	4
#149322	#38859	['#1810' '#40050' 'irresponsabilidad' 'imprudencia' 'incuria']	0
#37298	#134911	['#100292' '#81728' '#22944' 'palma' 'palmera']	0
overlying	superpuesto	['#70006' 'lava' '#21870' '#221840' '#102897']	0
#37886	#14855	['#3881' '#46016' 'agencia' '#208793' '#28497']	0
#143316	#15106	['#208039' 'cer\xc3\xa1mica' 'proceso cognitivo' '#25735' '#25736']	0
#21495	#22989	['tienda de campa\xc3\xb1a' '#22989' 'habitaci\xc3\xb3n' 'prefabricado'
 '#207172']	4
#85292	#217212	['hospitalizaci\xc3\xb3n' '#111021' 'prescrito' 'asegurado' '#72393']	0
#324	#44333	['#5079' '#129019' 'mont\xc3\xb3n' '#10489' 'polvoriento']	0
agglomeration	bloque	['#201542' 'aglomeraci\xc3\xb3n urbana' '#73261'
 'densidad de poblaci\xc3\xb3n' 'megal\xc3\xb3polis']	0
#69825	#28561	['#28561' '#93036' '#15199' '#91301' '#2465']	5
vast	gigante	['#104206' 'ruina' '#59741' 'siglo' '#74590']	0
#132357	#203024	['#203024' 'inspector general' '#314368' '#106802' 'ministro de defensa']	5
marry	casar	['casado' '#6942' '#23402' '#72460' 'esposa']	0
#93561	#217566	['#217566' 'firmado' '#100668' '#125060' 'carta de cr\xc3\xa9dito']	5
#193481	#205890	['anhelar' '#205890' '#220215' 'serenidad' 'pacientemente']	4
#173521	#208310	['anticarro' 'lanzadera' '#61053' '#22227' '#108190']	0
#77515	#61938	['#115071' 'zootecnia' '#48639' '#23200' '#113106']	0
#28481	#204032	['#203326' 'farmacolog\xc3\xada' '#17726' 'zoolog\xc3\xada' '#242447']	0
#97666	#8506	['antropol\xc3\xb3gico' '#8506' '#105101' 'sociol\xc3\xb3gico' '#8505']	4
#59828	#104388	['simbiosis' '#104388' 'diversidad gen\xc3\xa9tica' '#234299' '#104389']	4
traveling	viaje	['festival' '#38402' '#11128' '#126513' 'artista']	0
#20640	#313242	['#111419' 'hidrante' 'cuchilla' '#74165' 'tornillo']	0
#17429	#210591	['#210591' 'fusil autom\xc3\xa1tico' 'jeep' 'veh\xc3\xadculo militar'
 '#21125']	5
#59730	#204593	['silicio' '#204593' '#107289' '#104304' 's\xc3\xadlice']	4
opaque	opaco	['opaco' '#80147' '#25814' '#44016' 'amorfo']	5
#119879	#207865	['#207865' 'formato' '#43472' 'documento oficial' 'versi\xc3\xb3n']	5
#85738	#2754	['labio' 'retorcer' '#133320' '#28249' '#50561']	0
#33603	#220885	['#113757' '#127815' '#1014' '#12061' '#77753']	0
caffeine	cafeína	['#56361' 'hongo' '#22914' '#107384' '#204437']	0
#78602	#524	['#524' '#30178' 'combusti\xc3\xb3n' '#22482' '#55250']	5
#311424	#203016	['informaci\xc3\xb3n gen\xc3\xa9tica' '#203016' 'gen\xc3\xa9tica' '#55668'
 '#204545']	4
supplies	retén	['#8769' 'utensilio de cocina' '#210077' '#17710' '#29067']	0
national debt	déficit presupuestario	['d\xc3\xa9ficit presupuestario' 'balanza comercial' 'gasto del gobierno'
 '#59503' '#246588']	5
#23296	#99434	['#220512' '#91025' '#91287' 'racionalidad' '#61922']	0
jet propulsion	retropropulsión	['fotom\xc3\xa9trico' '#11732' '#218599' 'astrof\xc3\xadsico' '#93754']	0
#58510	#80428	['#199224' 'c\xc3\xb3digo postal' 'c\xc3\xa9dula de vecindad' 'numerado'
 '#247']	0
major power	potencia	['#251654' '#89561' 'hegemon\xc3\xada' 'aliado' 'guerra fr\xc3\xada']	0
#288788	#308027	['onc\xc3\xb3logo' '#93765' 'radi\xc3\xb3logo' '#109515' '#80084']	0
exemption	inmunidad	['exenci\xc3\xb3n' '#12778' 'imposici\xc3\xb3n' '#130971' '#61503']	0
noticeable	constatable	['#13943' '#44560' '#13716' '#8830' '#68614']	0
repairman	operario de mantenimiento	['#105267' 'soldador' '#87027' '#68136' 'sastre']	0
guarantor	avalista	['alter ego' 'fiador' 'poderdante' 'banquero' '#120823']	0
bot	autómata	['leasing' '#66792' '#239771' '#53841' '#127948']	0
#171698	#204648	['marchitar' 'ocaso' 'esfumar' '#135902' '#10814']	0
adopting	adopción	['#202343' 'c\xc3\xb3digo civil' 'paternidad' '#114314' '#217661']	0
gravimetric	gravimétrico	['#56881' 'gravim\xc3\xa9trico' 'fotom\xc3\xa9trico' '#74706'
 'mineral\xc3\xb3gico']	4
countervail	equivalente	['monopolio' '#73780' '#128296' '#90949' 'competidor']	0
criticise	tachar	['tachar' '#25182' '#1608' '#34798' 'silenciar']	5
#71213	#70781	['#222151' '#54126' '#40005' 'instrumentalizar' '#110306']	0
recording machine	dispositivo de grabación	['#236059' 'c\xc3\xa1mara digital' '#82118' 'm\xc3\xb3dem' 'disco duro']	0
#60627	#7816	['anestesia' '#44383' '#7816' '#7818' 'maxilofacial']	3
#79306	#15346	['#88867' 'revestido' '#307779' '#111419' 'perno']	0
causal	causal	['causal' '#24078' 'inevitable' '#37699' '#78075']	5
tax avoidance	elusión fiscal	['#135744' '#246273' 'fuga de capitales' '#246616' '#203700']	0
hotel manager	hotelero	['camarero' 'peluquero' '#76701' '#100792' '#95036']	0
remaking	reelaboración	['totalitarismo' 'ocaso' '#30840' '#81941' '#73204']	0
#63037	#110709	['titanio' '#107289' 's\xc3\xadlice' 'cromar' '#59072']	0
illegal	ilegítimo	['#32448' 'extorsi\xc3\xb3n' '#52811' 'ileg\xc3\xadtimo' 'contrabando']	2
petroleum	petróleo	['#86221' 'mineral' 'petr\xc3\xb3leo' '#11' '#203327']	3
merchant marine	marina mercante	['#89287' '#618' '#201727' 'guardacostas' '#57418']	0
irritate	desplacer	['irritar' '#230948' 'tragar' '#6641' 'labio']	0
#1716	#29940	['colonialismo' '#29940' '#29938' 'colonial' 'siglo']	4
background knowledge	background	['#49010' '#208172' '#11731' 'astrof\xc3\xadsica' '#244938']	0
#48618	#95878	['maravilloso' 'simbolizar' 'renacer' 'ocaso' 'gloria']	0
#140959	#129154	['#129154' '#216428' 'vinilo' '#116857' 'porcelana']	5
pension benefit	jubilación	['jubilaci\xc3\xb3n' '#65168' '#201491' '#3560' 'plan de pensiones']	5
iodide	yoduro	['#202477' '#208590' '#28918' 'hidrocarburo arom\xc3\xa1tico' '#28925']	0
#312556	#307449	['liberalismo' '#72382' '#22065' '#67649' 'materialista']	0
one-sided	unilateral	['c\xc3\xadnico' 'falaz' 'burdo' '#36946' 'rid\xc3\xadculo']	0
temporary employee	trabajador temporal	['#241239' '#201311' '#11181' '#233921' '#51924']	0
#317649	#261026	['fondo p\xc3\xbablico' '#261026' '#307261' '#202805' '#307228']	4
self-analysis	introspección	['instintivo' 'idealismo' '#60959' 'intelecto' 'sentido del humor']	0
overrun	infestado	['rearmar' 'contraataque' '#6367' '#27294' '#97607']	0
#41515	#51757	['#51757' 'selva tropical' 'estepa' '#89715' '#41703']	5
bald eagle	águila calva	['#33322' '#236032' 'cormor\xc3\xa1n' '#273794' 'pisc\xc3\xadvoro']	0
#186070	#217779	['#35443' 'cuartel' 'alojar' '#248117' 'calabozo']	0
take-off	despegue	['despegue' '#41020' '#112123' 'aterrizaje' '#12066']	5
accomplishment	cumplimiento	['#207294' '#31856' '#3003' 'coherente' 'flexibilidad']	0
#47560	#247076	['fiscal de distrito' '#254086' '#253879' '#106802' 'juez de paz']	0
offended	desastroso	['culpabilidad' '#36085' 'delito penal' 'absolver' 'acci\xc3\xb3n penal']	0
video disc	disco láser	['#56480' '#265' 'c\xc3\xb3mico' '#110548' 'clip']	0
mechanic	mecánico	['#44796' 'electricista' '#105267' 'soldador' '#23019']	0
#83362	#57026	['#105542' 'aterrador' 'oscuridad' 'id\xc3\xadlico' '#68699']	0
conformity	conformidad	['conformidad' '#3021' 'convenio internacional'
 'ordenamiento jur\xc3\xaddico' 'ley fundamental']	5
dressmaker	costurera	['peluquero' 'sastre' '#102392' 'costurera' '#34210']	2
vermiculite	vermiculita	['#107289' '#116857' '#95968' '#25734' '#88581']	0
indulgence	indulgencia	['#28225' 'cinismo' '#57344' 'arrogancia' '#10851']	0
peaceful coexistence	coexistencia pacífica	['#246501' 'coexistencia pac\xc3\xadfica' '#110970' '#29345' 'coexistencia']	4
#46699	#220	['#82780' '#82782' 'parlamentario' '#2620' 'activista']	0
#46436	#122140	['hu\xc3\xa9rfano' '#122140' '#42604' 'viudo' '#121462']	4
multi-user	multiusuario	['#109678' 'm\xc3\xb3dem' 'red privada virtual' '#207766' 'acceso remoto']	0
#94305	#3229	['#255929' '#3229' '#6652' '#5347' '#59595']	4
definite time	tiempo definido	['#60158' 'horario' 'predio' 'trabajo temporero' '#208860']	0
news agency	agencia de prensa	['cadena de televisi\xc3\xb3n' '#210025' '#135876' '#103104' 'retransmitir']	0
winter	invierno	['invierno' '#18270' 'lluvia' '#52496' '#109258']	5
#30507	#101806	['#101785' 'salutaci\xc3\xb3n' '#20378' '#20532' '#26733']	0
scarring	cicatriz	['#72522' '#216344' '#308081' 'desgarro' '#40230']	0
international community	comunidad internacional	['comunidad internacional' '#201048' 'flagelo' '#40270' 'paz']	5
dismissed	despedido	['inculpar' 'absolver' '#8957' '#52858' '#107027']	0
#81992	#98520	['consiguiente' '#98520' 'efecto negativo' '#31966' 'resultante']	4
#95546	#60319	['#67727' '#38150' '#56518' 'ense\xc3\xb1anza superior' '#255073']	0
full board	pensión completa	['#231047' 'centro de acogida' 'comida' 'albergue' 'comedor']	0
#178808	#38556	['#32062' 'nulidad' '#62058' 'proclamaci\xc3\xb3n' 'constitucionalidad']	0
sprinkle	bautizar	['#72189' '#105684' 'sopa' '#22368' 'hongo']	0
ladder	escalera	['escalera' 'pelda\xc3\xb1o' '#101707' 'hueco' '#108830']	5
philosophy	teoría política	['asignatura' '#133199' 'teor\xc3\xada' 'pensamiento' '#42011']	0
freedom of assembly	libertad de asociación	['libertad de asociaci\xc3\xb3n' '#260894' 'libertad de opini\xc3\xb3n'
 'ley fundamental' 'libertad de pensamiento']	5
#37102	#207629	['jugo' 'cerveza' '#31456' 'perfume' 'fideo']	0
#73905	#3636	['indecible' 'devastaci\xc3\xb3n' '#40086' 'penuria' 'miseria']	0
federal state	gobierno federal	['#135324' 'cant\xc3\xb3n' 'municipalidad' '#235537' '#203884']	0
ethnic	étnico	['#118375' '#52592' '#93587' 'etnia' '#81261']	0
#81290	#96687	['#3499' 'afectivo' 'cognitivo' '#29397' '#45519']	0
pro se	personalmente	['juez de instrucci\xc3\xb3n' '#30425' '#224734' '#30422' '#247524']	0
supersonic	hipersónico	['#2087' 'artillero' 'lanzadera' 'ca\xc3\xadda libre' '#96126']	0
#124749	#72579	['#72579' '#200957' 'agnado' '#1489' '#202931']	5
toughening	revigorización	['#78221' 'segregacionista' '#123515' '#2907' '#238473']	0
manganese	manganeso	['#70850' 'manganeso' 'tierras raras' 'cromar' '#79158']	4
question mark	signo de interrogación	['#31833' '#315030' 'agitar' '#77974' '#18091']	0
#31121	#208283	['#208860' '#208283' 'cedente' '#123768' '#98012']	4
#157436	#106241	['#106241' 'principio de subsidiariedad' 'federalismo' 'racionalidad'
 'libre mercado']	5
astronomical	astronómico	['astron\xc3\xb3mico' 'astronom\xc3\xada' '#11738' 'astrof\xc3\xadsico'
 '#11731']	5
ensnare	enlazar	['obsesi\xc3\xb3n' '#12884' '#25996' '#1390' '#106377']	0
#37652	#34113	['t\xc3\xada' '#114624' '#135766' 't\xc3\xado' 'abuela']	0
#119246	#201770	['lava' '#70006' 'roca volc\xc3\xa1nica' '#50857' '#86949']	0
#98747	#74085	['#74085' 'metal\xc3\xbargico' 'petroqu\xc3\xadmico' '#86216' 'metalurgia']	5
#323809	#246567	['corregidor' 'correccional de menores' '#101244'
 'c\xc3\xb3digo de la circulaci\xc3\xb3n' '#220202']	0
lf	baja frecuencia	['tasa de actividad' 'tasa de paro' 'cu\xc3\xa1druplo' 'sector servicios'
 '#307441']	0
#23676	#56079	['avaricia' '#3806' 'obsesi\xc3\xb3n' 'feroz' '#12884']	0
destroyer	devastador	['#89172' 'portaaviones' 'cazabombardero' 'carguero' '#253939']	0
personal	privado	['#37097' '#8175' 'profesi\xc3\xb3n' '#3776' 'aptitud']	0
#17219	#18607	['sentina' '#49533' 'c\xc3\xa1mara de combusti\xc3\xb3n' '#90419' '#59072']	0
poetic	lírico	['poes\xc3\xada' '#88508' 'novela' '#88497' '#21737']	0
writing	escritura	['#68377' 'literatura' '#39763' 'editar' '#111884']	0
#87648	#78140	['demonio' '#77974' '#1044' 'feo' 'agitar']	0
dedicate	afanar	['monumento' '#155' 'conmemorativo' '#31720' 'festival']	0
mod.	contemporáneo	['lanzadera' 'fusil autom\xc3\xa1tico' 'granado' '#8014' 'rifle de asalto']	0
#43209	#121207	['#121845' '#125206' '#124807' '#121798' '#122882']	0
#85332	#104389	['simbiosis' '#104388' '#104389' 'simbi\xc3\xb3tico' '#50691']	3
generously	generosamente	['generosamente' '#205950' 'gratitud' '#91161' '#104491']	5
television viewer	telespectador	['#28199' 'programa radial' 'telespectador' '#209532' 'videoclip']	3
#43203	#120812	['#120812' '#85920' 'boliviano' '#17076' '#57569']	5
#28230	#72351	['#72351' 'matem\xc3\xa1tica' 'asignatura' 'matem\xc3\xa1tico' '#229']	5
#77911	#19094	['fracaso' 'guerra fr\xc3\xada' '#61774' 'inevitable' '#79493']	0
ambition	ambición	['ambici\xc3\xb3n' '#7057' '#80293' 'hegemon\xc3\xada' 'optimismo']	5
interrupt	interrumpir	['interrumpir' 'interrupci\xc3\xb3n' '#94672' 'reanudaci\xc3\xb3n' '#78081']	5
#119149	#52560	['clorurar' '#28925' '#28918' '#1988' 'fenol']	0
#28389	#80704	['oftalmol\xc3\xb3gico' '#7108' 'ortodoncia' '#2774' 'acupuntura']	0
#38512	#204197	['#63638' '#32488' '#50984' '#308194' 'polic\xc3\xada secreta']	0
#139244	#251384	['#50739' '#99824' '#217' '#50738' 'programa de entrevistas']	0
#4009	#22652	['#70124' '#7171' '#8458' '#236345' '#119086']	0
nitric acid	ácido nítrico	['\xc3\xa1cido n\xc3\xadtrico' '#204551' '#105872' 'perclorato' '#107289']	5
#67745	#139162	['#221315' '#39486' '#14861' '#40497' 'corroer']	0
#172542	#93817	['#19551' '#18096' '#102423' '#11168' 'd\xc3\xa9spota']	0
#60344	#11500	['comandante' 'milicia' '#30095' '#128391' '#74555']	0
psychiatric hospital	casa de salud	['#91846' '#91845' '#7107' 'enfermo mental' 'ambulatorio']	0
pantry	despensa	['despensa' 'sauna' '#15589' '#52398' '#30186']	5
federal territory	territorio federal	['ciudadano extranjero' 'territorio federal' '#135411' '#220371' '#9669']	4
#164956	#16321	['#124556' '#308503' 'p\xc3\xa9ptido' '#92778' '#71476']	0
disinterestedness	desinterés	['#90990' '#91665' 'humildad' 'lealtad' '#60658']	0
whip	flagelo	['latigazo' 'palo' '#4539' '#1101' '#6934']	0
#65911	#274087	['mientras tanto' '\xc3\xadnterin' '#274087' '#121714' '#46000']	3
#32881	#91228	['#80719' '#91228' 'gram\xc3\xa1tica' 'ortograf\xc3\xada'
 'pronunciaci\xc3\xb3n']	4
#132689	#241280	['#241280' 'kimberlita' 'lava' 'cromita' '#15084']	5
#31092	#68478	['#53307' '#127624' '#115717' '#56070' 'explicativo']	0
copepod	copépodo	['#21523' 'anf\xc3\xadpodo' 'platija' 'cangrejo' '#236032']	0
#41499	#24285	['#24285' '#13943' '#13716' 'descender' '#220584']	5
mercantile	mercantil	['mercantil' '#80190' 'petrolero' 'empresa petrolera' 'armador']	5
dictatorial	imperativo	['tiran\xc3\xada' '#1419' '#12770' '#12772' 'totalitarismo']	0
#26387	#253815	['secreci\xc3\xb3n' 'ataxia' '#2941' '#49197' '#11977']	0
wanted	buscado	['#119836' 'arrestar' '#128407' 'pr\xc3\xb3fugo' 'inculpar']	0
calling card	felicitación	['#86376' '#121498' '#77302' '#82118' '#21239']	0
#18588	#77653	['#77653' '#88867' 'cuchilla' '#3694' '#111419']	5
#41303	#8112	['#202477' '#122218' '#28925' 'clorurar' 'fenol']	0
#96679	#233997	['intercambiador de calor' '#49533' '#61053' '#200271' 'quemador']	0
ostrich	avestruz	['palmera' '#81728' '#27993' '#72189' 'ara\xc3\xb1a']	0
#151546	#76271	['morfolog\xc3\xada' 'geomorfol\xc3\xb3gico' '#15399' '#218832'
 'tect\xc3\xb3nico']	0
fallen	caído	['#120462' 'ca\xc3\xaddo' 'llorar' '#65968' 'martirio']	4
#15798	#32197	['#111419' '#126793' '#88867' 'perno' 'tornillo']	0
industrial	industrial	['#62470' 'industrial' '#117' '#53748' 'competitividad']	4
