#61554	#61554	['#61554' 'anxiety' 'trauma' 'depression' 'symptom']	5
#74905	#74905	['#74905' '#140829' 'go to sleep' '#68019' '#76232']	5
deferment	deferment	['deferment' '#91591' '#57471' 'automaticity' '#4370']	5
zing	zing	['zing' '#62958' '#86440' '#73413' '#313750']	5
appetite	appetite	['appetite' '#93073' 'insatiable' '#138143' 'greed']	5
radio beacon	radio beacon	['radio beacon' '#19610' '#180046' '#48998' 'electromagnetic induction']	5
#149322	#149322	['#149322' '#23712' 'imprudence' 'scent' '#142533']	5
#37298	#37298	['#37298' 'primitive' '#85961' '#20759' '#34879']	5
overlying	overlying	['overlying' '#64825' '#96490' '#64402' '#145967']	5
#37886	#37886	['#37886' '#37076' '#2101' '#70956' '#14295']	5
#143316	#143316	['#143316' '#41259' '#117152' 'fishmeal' 'photosynthesis']	5
#21495	#21495	['tent' '#21495' '#17545' '#13635' 'blanket']	4
#85292	#85292	['#85292' 'brain death' '#186112' 'surgical procedure' '#34879']	5
#324	#324	['unrefined' '#1372' 'primitive' 'carnivorous' '#169704']	0
agglomeration	agglomeration	['#37237' '#143258' 'agglomeration' 'economic expansion' 'booming']	3
#69825	#69825	['#69825' 'complain' 'contamination' 'consequent' 'basin']	5
vast	vast	['vast' 'impossible' '#77477' '#149918' '#59696']	5
#132357	#132357	['#132357' 'inspector general' '#92087' '#46691' 'reorganize']	5
marry	marry	['marry' '#76911' 'married' '#97359' '#89640']	5
#93561	#93561	['signed' '#93561' 'writing' '#76856' '#25001']	4
#193481	#193481	['#193481' 'patiently' 'delight' '#39287' '#92222']	5
#173521	#173521	['#173521' 'pluton' 'oxidizer' '#10527' 'sodium hydroxide']	5
#77515	#77515	['#77515' '#82020' '#30612' '#68722' 'population']	5
#28481	#28481	['#28481' '#28442' '#115217' 'geophysics' 'geochemistry']	5
#97666	#97666	['#97666' 'anthropological' '#175537' 'ethnological' '#84773']	5
#59828	#59828	['#59828' 'amino acid' 'symbiosis' '#62836' 'symbiotic']	5
traveling	traveling	['traveling' '#34879' '#156129' 'forceps' 'town crier']	5
#20640	#20640	['#20640' 'piercing' '#26515' 'fuselage' '#2591']	5
#17429	#17429	['#17429' 'jeep' '#18783' '#15164' 'fuselage']	5
#59730	#59730	['#59730' '#62798' 'phosphoric acid' 'condensed milk' '#197802']	5
opaque	opaque	['opaque' '#84226' '#81429' 'insatiable' 'primitive']	5
#119879	#119879	['#119879' '#78189' 'document' '#23140' '#31097']	5
#85738	#85738	['#85738' '#83488' '#199666' 'lumbar' '#98324']	5
#33603	#33603	['#33603' 'skeptic' '#23626' 'primitive' 'miniaturization']	5
caffeine	caffeine	['caffeine' '#37144' '#11188' 'gari' 'unrefined']	5
#78602	#78602	['industrial process' '#78602' 'energy industry' '#64430' 'lignite']	4
#311424	#311424	['#311424' 'genetic information' 'gene' '#26055' 'peptide']	5
supplies	supplies	['supplies' '#206' 'shortage' 'recurrent' '#24725']	5
national debt	national debt	['national debt' '#277152' '#57805' '#58263' 'rupee']	5
#23296	#23296	['precision' '#23296' '#4099' 'prediction' '#117295']	4
jet propulsion	jet propulsion	['jet propulsion' '#48876' '#96660' '#41736' 'biosensor']	5
#58510	#58510	['#58510' 'wilt' 'potassium nitrate' 'mink' 'oddly']	5
major power	major power	['major power' 'superpower' 'great power' '#136840' '#173795']	5
#288788	#288788	['#288788' '#159040' 'gym' 'gerontologist' '#44942']	5
exemption	exemption	['exemption' '#803' '#15967' '#27278' 'privilege']	5
noticeable	noticeable	['noticeable' 'appreciable' 'empirical' '#81468' '#62542']	5
repairman	repairman	['fitter' 'home appliance' 'casual labour' '#48087' 'seamstress']	0
guarantor	guarantor	['guarantor' '#45379' 'prime' 'sovereign state' 'prerogative']	5
bot	bot	['bot' '#17253' '#200149' '#35296' 'horseshoe']	5
#171698	#171698	['#171698' 'prognostication' 'stagflation' 'bearish' 'stock market index']	5
adopting	adopting	['adopting' '#60741' 'sea turtle' 'energy source' '#3457']	5
gravimetric	gravimetric	['gravimetric' '#98237' '#179357' 'wind speed' 'wavelength']	5
countervail	countervail	['countervail' 'vanilla' 'currency appreciation' '#59096' '#184010']	5
criticise	criticise	['criticise' 'dole out' 'inattention' 'trifle' '#76197']	5
#71213	#71213	['#71213' '#69936' 'demagogic' '#173795' 'subjugate']	5
recording machine	recording machine	['recording machine' 'magnetic tape' '#21957' 'pus' 'typewriter']	5
#60627	#60627	['#60627' 'anaesthetic' 'anaesthesia' 'magnetic resonance imaging' '#97822']	5
#79306	#79306	['#79306' 'drums' 'insulated' '#15703' '#85961']	5
causal	causal	['causal' '#83142' '#59544' 'causative' 'probability']	5
tax avoidance	tax avoidance	['tax avoidance' '#4423' 'capital flight' '#277152' '#143313']	5
hotel manager	hotel manager	['hotel manager' 'fitter' '#1690' 'beauty parlour' '#133843']	5
remaking	remaking	['heady' '#139153' 'remaking' 'rein in' 'nostalgia']	3
#63037	#63037	['#63037' 'titanium' 'hydroxide' '#62994' '#62874']	5
illegal	illegal	['illegal' '#89175' 'illicit' 'example' 'construction']	5
petroleum	petroleum	['petroleum' '#64471' '#64240' 'hydrocarbon' '#63794']	5
merchant marine	merchant marine	['merchant marine' 'overfishing' 'merchant navy' '#20370' '#11963']	5
irritate	irritate	['irritate' '#66314' '#144564' 'sodium carbonate' '#73868']	5
#1716	#1716	['#1716' 'colonialism' 'apartheid' '#28694' 'legacy']	5
background knowledge	background knowledge	['background knowledge' 'reproducibility' 'excitability' 'iceberg'
 'subjectivity']	5
#48618	#48618	['#48618' '#97698' 'struggle for existence' 'flowering' 'materialistic']	5
#140959	#140959	['#140959' 'vinyl' '#62798' '#293841' '#64637']	5
pension benefit	pension benefit	['pension benefit' 'retirement pension' '#139728' 'retirement benefit'
 'old-age pension']	5
iodide	iodide	['iodide' '#64295' 'flocculation' '#64574' '#98941']	5
#312556	#312556	['#312556' 'mercantilist' '#136840' '#28212' '#26927']	5
one-sided	one-sided	['one-sided' '#92234' 'demagogic' 'insolence' 'self-righteousness']	5
temporary employee	temporary employee	['temporary employee' '#123970' '#47766' 'family business' 'tenant farmer']	5
#317649	#317649	['#317649' 'public funding' 'public fund' 'bank loan' '#305341']	5
self-analysis	self-analysis	['self-analysis' 'skeptic' 'give-and-take' 'peer pressure' 'thrift']	5
overrun	overrun	['overrun' '#3717' 'miserable' '#177031' 'target range']	5
#41515	#41515	['#41515' 'steppe' 'savannah' 'heathland' '#41516']	5
bald eagle	bald eagle	['mink' 'peregrine falcon' '#150461' 'bald eagle' '#9223']	2
#186070	#186070	['#186070' 'conjunctive' 'referent' 'guarded' 'guardroom']	5
take-off	take-off	['take-off' '#1208' 'millimetre' '#116122' 'unsteady']	5
accomplishment	accomplishment	['accomplishment' 'expected' 'assumption' '#141146' '#33444']	5
#47560	#47560	['#47560' 'state attorney' "state's attorney" 'gambler' '#145899']	5
offended	offended	['offended' 'demean' 'law-breaker' '#62209' 'inexact']	5
video disc	video disc	['video disc' 'neural' '#20805' 'chromatography' '#324533']	5
mechanic	mechanic	['mechanic' '#43794' 'electrician' '#46473' 'carpenter']	5
