#61554	#61554	5
#74905	#74905	0
deferment	deferment	0
zing	zing	0
appetite	appetite	0
radio beacon	radio beacon	0
#149322	#149322	0
#37298	#37298	5
overlying	overlying	0
#37886	#37886	0
#143316	#143316	5
#21495	#21495	3
#85292	#85292	0
#324	#324	5
agglomeration	agglomeration	0
#69825	#69825	5
vast	vast	5
#132357	#132357	4
marry	marry	4
#93561	#93561	0
#193481	#193481	0
#173521	#173521	0
#77515	#77515	5
#28481	#28481	0
#97666	#97666	0
#59828	#59828	5
traveling	traveling	0
#20640	#20640	4
#17429	#17429	5
#59730	#59730	0
opaque	opaque	0
#119879	#119879	5
#85738	#85738	5
#33603	#33603	0
caffeine	caffeine	0
#78602	#78602	5
#311424	#311424	0
supplies	supplies	0
national debt	national debt	0
#23296	#23296	0
jet propulsion	jet propulsion	0
#58510	#58510	0
major power	major power	1
#288788	#288788	0
exemption	exemption	0
noticeable	noticeable	5
repairman	repairman	0
guarantor	guarantor	0
bot	bot	0
#171698	#171698	0
adopting	adopting	0
gravimetric	gravimetric	0
countervail	countervail	5
criticise	criticise	0
#71213	#71213	0
recording machine	recording machine	0
#60627	#60627	0
#79306	#79306	3
causal	causal	4
tax avoidance	tax avoidance	0
hotel manager	hotel manager	0
remaking	remaking	0
#63037	#63037	5
illegal	illegal	4
petroleum	petroleum	5
merchant marine	merchant marine	0
irritate	irritate	3
#1716	#1716	4
background knowledge	background knowledge	0
#48618	#48618	0
#140959	#140959	4
pension benefit	pension benefit	5
iodide	iodide	3
#312556	#312556	0
one-sided	one-sided	0
temporary employee	temporary employee	0
#317649	#317649	0
self-analysis	self-analysis	5
overrun	overrun	0
#41515	#41515	0
bald eagle	bald eagle	0
#186070	#186070	4
take-off	take-off	0
accomplishment	accomplishment	3
#47560	#47560	0
offended	offended	4
video disc	video disc	0
mechanic	mechanic	0
#83362	#83362	5
conformity	conformity	0
dressmaker	dressmaker	0
vermiculite	vermiculite	0
indulgence	indulgence	0
peaceful coexistence	peaceful coexistence	5
#46699	#46699	0
#46436	#46436	5
multi-user	multi-user	0
#94305	#94305	5
definite time	definite time	5
news agency	news agency	0
winter	winter	4
#30507	#30507	0
scarring	scarring	0
international community	international community	0
dismissed	dismissed	5
#81992	#81992	3
#95546	#95546	0
full board	full board	0
#178808	#178808	0
sprinkle	sprinkle	5
ladder	ladder	0
philosophy	philosophy	5
freedom of assembly	freedom of assembly	0
#37102	#37102	4
#73905	#73905	0
federal state	federal state	0
ethnic	ethnic	5
#81290	#81290	4
pro se	pro se	0
supersonic	supersonic	0
#124749	#124749	1
toughening	toughening	5
manganese	manganese	0
question mark	question mark	0
#31121	#31121	0
#157436	#157436	0
astronomical	astronomical	0
ensnare	ensnare	0
#37652	#37652	0
#119246	#119246	0
#98747	#98747	0
#323809	#323809	5
lf	lf	0
#23676	#23676	5
destroyer	destroyer	5
personal	personal	1
#17219	#17219	0
poetic	poetic	5
writing	writing	0
#87648	#87648	0
dedicate	dedicate	3
mod.	mod.	0
#43209	#43209	5
